Key,Id,SharedComments,ko-KR,Comments(ko-KR),en-US,Comments(en-US)
Msg_Ad_Chance_Select_Target,493324591175,,지원 요청 성공! 제거할 적 기물을 선택하세요. (왕/사 제외),,Strike Ready! Select an enemy piece to eliminate. (Except King/Advisor),
Msg_Ad_Chance_Eliminated,493324591176,,지원 폭격! 적의 [{0}]을(를) 파괴했습니다!,,Strike! Enemy [{0}] eliminated!,
Msg_Ad_Chance_No_Target,493324591177,,제거할 수 있는 적 기물이 없습니다. (왕/사 제외),,No enemy pieces available to eliminate.,
Msg_Ad_Chance_Already_Used,493324591178,,광고 찬스는 게임당 1회만 사용할 수 있습니다.,,Ad Chance can only be used once per game.,
Msg_Ad_Chance_Not_Player_Turn,493324591179,,플레이어 턴에만 광고 찬스를 사용할 수 있습니다.,,Ad Chance can only be used on your turn.,
Btn_Haptic_On,493324591180,,햅틱: 켜짐,,Haptic: ON,
Btn_Haptic_Off,493324591181,,햅틱: 꺼짐,,Haptic: OFF,
Callout_Check,493324591182,,장군!,,Check!,
Callout_Escape,493324591183,,멍군!,,Escape!,
Menu_Language_Toggle,493324591184,,언어: 한국어 (KO),,Language: English (EN),
Header_Language_Toggle,493324591185,,한국어,,English,
Badge_Stalemate,493324591186,,교착 상태,,Stalemate,
Badge_Checkmate_Win,493324591187,,외통수 제압,,Checkmate Victory,
Badge_Checkmate_Lose,493324591188,,외통수 패배,,Checkmate Defeat,
Review_Title_Draw_Win,493324591189,,⚖️ 무승부 판정,,⚖️ Draw Decision,
Review_Title_Draw_Lose,493324591190,,⚖️ 게임 종료 (무승부),,⚖️ Game Over (Draw),
Review_Exp_Draw,493324591191,,• 양측 모두 공격 기물이 소진되었거나 교착 상태(Stalemate)가 발생하여 무승부로 종료되었습니다.,,• Game ended in a draw due to lack of attacking pieces or stalemate.,
Review_Title_Checkmate_Win,493324591192,,외통수 승리 (외통수 제압),,Checkmate Victory (Overpowered),
Review_Title_Checkmate_Lose,493324591193,,외통수 패배 (외통수 당함),,Checkmate Defeat (Overpowered),
Review_Exp_DirectAttack,493324591194,,"• 직접 장군: {0}이(가) {1}을(를) 직접 조준 공격 중입니다.
",,"• Direct Attack: {0} is directly targeting {1}.
",
Review_Exp_PathBlocked,493324591195,,"• 퇴로 차단: {0}이(가) 궁의 탈출로를 통제하여 도망칠 수 없습니다.
",,"• Escape Blocked: {0} controls the escape routes.
",
Review_Exp_AllBlocked,493324591196,,"• 퇴로 차단: 궁성 내 모든 인접 칸이 상대 기물의 공격 범위에 막혀 있습니다.
",,"• Escape Blocked: All adjacent cells in the palace are under attack.
",
Review_Exp_NoDefense,493324591197,,• 수비 불가: 공격 기물을 잡거나 사이를 가로막을 수 있는 합법 수가 없습니다.,,• Defenseless: No legal moves to capture the attacker or block the attack.,
Review_King_Fallback,493324591198,,궁,,King,
Btn_Pause,493324591199,,일시정지,,Pause,
Msg_Ad_Loading,493324591201,,광고 로딩중...,,Loading Ad...,
Header_Title,493324591200,,장기 아케이드,,Janggi Arcade,
